,A,C,D,E,F,G,H,I,J,K,M,N,O,P,R,T,U
A,0,0.771754935255195,0.766359079356988,0.819463518269941,0.759411682696079,0.738389598786985,0.841005483177532,0.866726166835836,0.976444684475094,0.952275045947712,0.766290891288606,0.813397295253839,0.830624967491656,0.742530503395374,0.811547010720232,0.831921294661109,0.842113124038289
C,0.771754935255195,0,0.341370218095638,0.341510093393665,0.262825594264347,0.53343528708414,0.240368682643423,0.308499758835092,0.983931643484093,0.882739864129073,0.150406223476231,0.546567182823245,0.573557744615246,0.534185787760188,0.654773751469166,0.188400467894192,0.681651104004211
D,0.766359079356988,0.341370218095638,0,0.243478962683291,0.253650248108246,0.493939783927409,0.400656224499651,0.597391507255368,0.980545005488586,0.839658228529118,0.366321758910972,0.458692068159153,0.531929754091468,0.428920293461632,0.628258130407299,0.378630457725496,0.707774547284642
E,0.819463518269941,0.341510093393665,0.243478962683291,0,0.2514725080727,0.665544745748208,0.305681527869007,0.498026150333601,0.971830182301789,0.918278470664677,0.300190593623597,0.422232250094851,0.565335548666111,0.585767719749318,0.690379823853312,0.412168354319549,0.756501601768768
F,0.759411682696079,0.262825594264347,0.253650248108246,0.2514725080727,0,0.561604938717389,0.348475291354473,0.489833379971559,0.977814949131564,0.905027543630074,0.24846442726476,0.48497236288,0.51354103434043,0.467023719166766,0.628251350373748,0.353507186107034,0.691307405950293
G,0.738389598786985,0.53343528708414,0.493939783927409,0.665544745748208,0.561604938717389,0,0.59088320707747,0.748978882331703,0.975617161332427,0.72300787171297,0.689511478570842,0.677464131618481,0.474298074433234,0.196212053082577,0.780507823964804,0.478196251520688,0.781441705417572
H,0.841005483177532,0.240368682643423,0.400656224499651,0.305681527869007,0.348475291354473,0.59088320707747,0,0.213300685253617,0.984260485267407,0.889293497059793,0.285316762789744,0.402381274329578,0.405817573871137,0.51024512674967,0.69480374071769,0.28469164614377,0.689648997461179
I,0.866726166835836,0.308499758835092,0.597391507255368,0.498026150333601,0.489833379971559,0.748978882331703,0.213300685253617,0,0.991052356388362,0.990651629446605,0.352413101176842,0.47943443344501,0.427527804475808,0.659897562683988,0.768323641243221,0.389636555447628,0.739481723472496
J,0.976444684475094,0.983931643484093,0.980545005488586,0.971830182301789,0.977814949131564,0.975617161332427,0.984260485267407,0.991052356388362,0,0.990493336422999,0.983109872775085,0.98729365986722,0.98627924038268,0.979281304973912,0.983553090775264,0.986807792464383,0.990043903619456
K,0.952275045947712,0.882739864129073,0.839658228529118,0.918278470664677,0.905027543630074,0.72300787171297,0.889293497059793,0.990651629446605,0.990493336422999,0,0.948884538248334,0.910690363595863,0.856539105477208,0.754887025843684,0.752701430228809,0.814838968596368,0.884717432910503
M,0.766290891288606,0.150406223476231,0.366321758910972,0.300190593623597,0.24846442726476,0.689511478570842,0.285316762789744,0.352413101176842,0.983109872775085,0.948884538248334,0,0.535474661750551,0.68207994708969,0.629174893956637,0.661642701093284,0.213897623734518,0.705468968878872
N,0.813397295253839,0.546567182823245,0.458692068159153,0.422232250094851,0.48497236288,0.677464131618481,0.402381274329578,0.47943443344501,0.98729365986722,0.910690363595863,0.535474661750551,0,0.398354994370155,0.573297829945956,0.741454793400516,0.616109055961088,0.778736796003117
O,0.830624967491656,0.573557744615246,0.531929754091468,0.565335548666111,0.51354103434043,0.474298074433234,0.405817573871137,0.427527804475808,0.98627924038268,0.856539105477208,0.68207994708969,0.398354994370155,0,0.398816727466309,0.779109505770234,0.561768340883753,0.737322820611045
P,0.742530503395374,0.534185787760188,0.428920293461632,0.585767719749318,0.467023719166766,0.196212053082577,0.51024512674967,0.659897562683988,0.979281304973912,0.754887025843684,0.629174893956637,0.573297829945956,0.398816727466309,0,0.746260145554714,0.485529488060122,0.766098510781283
R,0.811547010720232,0.654773751469166,0.628258130407299,0.690379823853312,0.628251350373748,0.780507823964804,0.69480374071769,0.768323641243221,0.983553090775264,0.752701430228809,0.661642701093284,0.741454793400516,0.779109505770234,0.746260145554714,0,0.64818252131573,0.353954952421145
T,0.831921294661109,0.188400467894192,0.378630457725496,0.412168354319549,0.353507186107034,0.478196251520688,0.28469164614377,0.389636555447628,0.986807792464383,0.814838968596368,0.213897623734518,0.616109055961088,0.561768340883753,0.485529488060122,0.64818252131573,0,0.66914532147271
U,0.842113124038289,0.681651104004211,0.707774547284642,0.756501601768768,0.691307405950293,0.781441705417572,0.689648997461179,0.739481723472496,0.990043903619456,0.884717432910503,0.705468968878872,0.778736796003117,0.737322820611045,0.766098510781283,0.353954952421145,0.66914532147271,0
